economy,series,Country,Series,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
USA,SM.POP.ASYS.EA,United States,Asylum-seekers by country or territory of asylum,,,,,,,386303.0,395849.0,395358.0,350860.0,263675.0,169706.0,124194.0,83855.0,69188.0,63758.0,6276.0,11700.0,18946.0,84317.0,187815.0,286177.0,439864.0,642719.0,718992.0,847608.0,997996.0,1303181.0,1798792.0
CAN,SM.POP.ASYS.EO,Canada,Asylum-seekers by country or territory of origin,,,,,,,7.0,9.0,20.0,22.0,18.0,35.0,44.0,59.0,55.0,9.0,5.0,0.0,5.0,23.0,55.0,334.0,54.0,78.0,79.0,88.0,108.0,126.0,218.0
MEX,SM.POP.ASYS.EO,Mexico,Asylum-seekers by country or territory of origin,,,,,,,13058.0,22473.0,30872.0,26460.0,18831.0,12614.0,11816.0,14761.0,17435.0,20402.0,9956.0,5328.0,3605.0,12267.0,29351.0,46250.0,64256.0,85078.0,89794.0,101654.0,111728.0,117936.0,126428.0
USA,SM.POP.ASYS.EO,United States,Asylum-seekers by country or territory of origin,,,,,,,86.0,110.0,233.0,345.0,266.0,255.0,390.0,1100.0,1740.0,1443.0,866.0,591.0,417.0,283.0,164.0,245.0,286.0,2196.0,2834.0,2940.0,2491.0,1662.0,2115.0
CAN,SL.TLF.0714.SW.TM,Canada,"Average working hours of children, study and work, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.SW.TM,Mexico,"Average working hours of children, study and work, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,14.5,,13.65239,,,,,,,,,
USA,SL.TLF.0714.SW.TM,United States,"Average working hours of children, study and work, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.SW.FE.TM,Canada,"Average working hours of children, study and work, female, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.SW.FE.TM,Mexico,"Average working hours of children, study and work, female, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,15.0,,13.16137,,,,,,,,,
USA,SL.TLF.0714.SW.FE.TM,United States,"Average working hours of children, study and work, female, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.SW.MA.TM,Canada,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.SW.MA.TM,Mexico,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,14.2,,13.9073,,,,,,,,,
USA,SL.TLF.0714.SW.MA.TM,United States,"Average working hours of children, study and work, male, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.WK.TM,Canada,"Average working hours of children, working only, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.WK.TM,Mexico,"Average working hours of children, working only, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,35.3,,35.87426,,,,,,,,,
USA,SL.TLF.0714.WK.TM,United States,"Average working hours of children, working only, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.WK.FE.TM,Canada,"Average working hours of children, working only, female, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.WK.FE.TM,Mexico,"Average working hours of children, working only, female, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,32.4,,29.87781,,,,,,,,,
USA,SL.TLF.0714.WK.FE.TM,United States,"Average working hours of children, working only, female, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.WK.MA.TM,Canada,"Average working hours of children, working only, male, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.WK.MA.TM,Mexico,"Average working hours of children, working only, male, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,36.2,,38.27394,,,,,,,,,
USA,SL.TLF.0714.WK.MA.TM,United States,"Average working hours of children, working only, male, ages 7-14 (hours per week)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_si_allsi.ben_q1_tot,Canada,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_si_allsi.ben_q1_tot,Mexico,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),,,,,,,,,,,,,,,1.19476697533553,,1.43087818417161,,1.13481521308948,,0.965283526882201,,1.04605940542481,,1.2346739655554,,1.18454839832338,,1.24624409937713
USA,per_si_allsi.ben_q1_tot,United States,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_allsp.ben_q1_tot,Canada,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_allsp.ben_q1_tot,Mexico,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),,,,,,,,,,,,,,,7.1644395747374,,11.6387381990122,,8.77913072168798,,7.85104344281883,,11.0694281744648,,9.95318189490493,,6.20036467399534,,6.76299037146882
USA,per_allsp.ben_q1_tot,United States,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_sa_allsa.ben_q1_tot,Canada,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_sa_allsa.ben_q1_tot,Mexico,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),,,,,,,,,,,,,,,23.1683494864333,,29.6363886463372,,37.4166341933125,,28.8905784143464,,34.8765361808862,,35.6665462598991,,19.3763396802632,,18.7918770996843
USA,per_sa_allsa.ben_q1_tot,United States,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,per_lm_alllm.ben_q1_tot,Canada,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,per_lm_alllm.ben_q1_tot,Mexico,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),,,,,,,,,,,,,,,,,,,,,,,,,,,15.9946230984704,,13.1291910343144
USA,per_lm_alllm.ben_q1_tot,United States,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.AGR.0714.ZS,Canada,Child employment in agriculture (% of economically active children ages 7-14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.AGR.0714.ZS,Mexico,Child employment in agriculture (% of economically active children ages 7-14),,,,,,,,,,,,,,36.7,,38.17,36.58,34.71,,34.45,,,,,,,,,
USA,SL.AGR.0714.ZS,United States,Child employment in agriculture (% of economically active children ages 7-14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.AGR.0714.FE.ZS,Canada,"Child employment in agriculture, female (% of female economically active children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.AGR.0714.FE.ZS,Mexico,"Child employment in agriculture, female (% of female economically active children ages 7-14)",,,,,,,,,,,20.6,,,,,16.78,14.77,14.4,,13.16,,,,,,,,,
USA,SL.AGR.0714.FE.ZS,United States,"Child employment in agriculture, female (% of female economically active children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.AGR.0714.MA.ZS,Canada,"Child employment in agriculture, male (% of male economically active children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.AGR.0714.MA.ZS,Mexico,"Child employment in agriculture, male (% of male economically active children ages 7-14)",,,,,,,,,,,46.4,,,,,47.81,45.94,44.59,,45.47,,,,,,,,,
USA,SL.AGR.0714.MA.ZS,United States,"Child employment in agriculture, male (% of male economically active children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.MNF.0714.ZS,Canada,Child employment in manufacturing (% of economically active children ages 7-14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.MNF.0714.ZS,Mexico,Child employment in manufacturing (% of economically active children ages 7-14),,,,,,,,,,,,,,10.76,,11.74,9.48,9.53,,11.68,,,,,,,,,
USA,SL.MNF.0714.ZS,United States,Child employment in manufacturing (% of economically active children ages 7-14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.MNF.0714.FE.ZS,Canada,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.MNF.0714.FE.ZS,Mexico,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",,,,,,,,,,,11.47,,,,,14.27,12.19,12.52,,12.7,,,,,,,,,
USA,SL.MNF.0714.FE.ZS,United States,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.MNF.0714.MA.ZS,Canada,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.MNF.0714.MA.ZS,Mexico,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",,,,,,,,,,,12.62,,,,,10.6,8.32,8.07,,11.15,,,,,,,,,
USA,SL.MNF.0714.MA.ZS,United States,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.SRV.0714.ZS,Canada,Child employment in services (% of economically active children ages 7-14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.SRV.0714.ZS,Mexico,Child employment in services (% of economically active children ages 7-14),,,,,,,,,,,,,,48.47,,47.04,50.81,53.84,,53.88,,,,,,,,,
USA,SL.SRV.0714.ZS,United States,Child employment in services (% of economically active children ages 7-14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.SRV.0714.FE.ZS,Canada,"Child employment in services, female (% of female economically active children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.SRV.0714.FE.ZS,Mexico,"Child employment in services, female (% of female economically active children ages 7-14)",,,,,,,,,,,68.0,,,,,68.82,73.04,72.93,,74.15,,,,,,,,,
USA,SL.SRV.0714.FE.ZS,United States,"Child employment in services, female (% of female economically active children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.SRV.0714.MA.ZS,Canada,"Child employment in services, male (% of male economically active children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.SRV.0714.MA.ZS,Mexico,"Child employment in services, male (% of male economically active children ages 7-14)",,,,,,,,,,,38.6,,,,,37.22,41.27,44.56,,43.38,,,,,,,,,
USA,SL.SRV.0714.MA.ZS,United States,"Child employment in services, male (% of male economically active children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.FE.ZS,Canada,"Children in employment, female (% of female children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.FE.ZS,Mexico,"Children in employment, female (% of female children ages 7-14)",,,,,,,,,,,5.6,,,5.6,,7.6,4.7,4.4,,3.795669,,,,,,,,,
USA,SL.TLF.0714.FE.ZS,United States,"Children in employment, female (% of female children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.MA.ZS,Canada,"Children in employment, male (% of male children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.MA.ZS,Mexico,"Children in employment, male (% of male children ages 7-14)",,,,,,,,,,,12.2,,,10.9,,16.5,11.3,9.1,,7.350553,,,,,,,,,
USA,SL.TLF.0714.MA.ZS,United States,"Children in employment, male (% of male children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.SLF.0714.ZS,Canada,"Children in employment, self-employed (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.SLF.0714.ZS,Mexico,"Children in employment, self-employed (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,2.35,,4.04,,,,,,,,,
USA,SL.SLF.0714.ZS,United States,"Children in employment, self-employed (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.SLF.0714.FE.ZS,Canada,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.SLF.0714.FE.ZS,Mexico,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,2.31,,5.48,,,,,,,,,
USA,SL.SLF.0714.FE.ZS,United States,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.SLF.0714.MA.ZS,Canada,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.SLF.0714.MA.ZS,Mexico,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,2.37,,3.33,,,,,,,,,
USA,SL.SLF.0714.MA.ZS,United States,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.SW.ZS,Canada,"Children in employment, study and work (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.SW.ZS,Mexico,"Children in employment, study and work (% of children in employment, ages 7-14)",,,,,,,,,,,65.9,,,82.8,,77.4,73.4,85.0496188217462,,85.53648,,,,,,,,,
USA,SL.TLF.0714.SW.ZS,United States,"Children in employment, study and work (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.SW.FE.ZS,Canada,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.SW.FE.ZS,Mexico,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,89.5134982766794,,87.614,,,,,,,,,
USA,SL.TLF.0714.SW.FE.ZS,United States,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.SW.MA.ZS,Canada,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.SW.MA.ZS,Mexico,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,82.9073504038055,,84.50377,,,,,,,,,
USA,SL.TLF.0714.SW.MA.ZS,United States,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.ZS,Canada,"Children in employment, total (% of children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.ZS,Mexico,"Children in employment, total (% of children ages 7-14)",,,,,,,,,,,8.9,,,8.3,,12.2,8.0,6.8,,5.606943,,,,,,,,,
USA,SL.TLF.0714.ZS,United States,"Children in employment, total (% of children ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.FAM.0714.ZS,Canada,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.FAM.0714.ZS,Mexico,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,59.85,,59.56,,,,,,,,,
USA,SL.FAM.0714.ZS,United States,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.FAM.0714.FE.ZS,Canada,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.FAM.0714.FE.ZS,Mexico,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,62.41,,59.72,,,,,,,,,
USA,SL.FAM.0714.FE.ZS,United States,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.FAM.0714.MA.ZS,Canada,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.FAM.0714.MA.ZS,Mexico,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,58.62,,59.49,,,,,,,,,
USA,SL.FAM.0714.MA.ZS,United States,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.WAG.0714.ZS,Canada,"Children in employment, wage workers (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.WAG.0714.ZS,Mexico,"Children in employment, wage workers (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,37.8,,36.36,,,,,,,,,
USA,SL.WAG.0714.ZS,United States,"Children in employment, wage workers (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.WAG.0714.FE.ZS,Canada,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.WAG.0714.FE.ZS,Mexico,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,35.29,,34.8,,,,,,,,,
USA,SL.WAG.0714.FE.ZS,United States,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.WAG.0714.MA.ZS,Canada,"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.WAG.0714.MA.ZS,Mexico,"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,39.01,,37.14,,,,,,,,,
USA,SL.WAG.0714.MA.ZS,United States,"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.WK.ZS,Canada,"Children in employment, work only (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.WK.ZS,Mexico,"Children in employment, work only (% of children in employment, ages 7-14)",,,,,,,,,,,34.1,,,17.2,,22.6,26.6,14.9503811782538,,14.46352,,,,,,,,,
USA,SL.TLF.0714.WK.ZS,United States,"Children in employment, work only (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.WK.FE.ZS,Canada,"Children in employment, work only, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.WK.FE.ZS,Mexico,"Children in employment, work only, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,10.4865017233206,,12.386,,,,,,,,,
USA,SL.TLF.0714.WK.FE.ZS,United States,"Children in employment, work only, female (% of female children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.TLF.0714.WK.MA.ZS,Canada,"Children in employment, work only, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,SL.TLF.0714.WK.MA.ZS,Mexico,"Children in employment, work only, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,17.0926495961945,,15.49623,,,,,,,,,
USA,SL.TLF.0714.WK.MA.ZS,United States,"Children in employment, work only, male (% of male children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,SL.FAM.WORK.FE.ZS,Canada,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",0.757635086752324,0.704334207310493,0.6948919889174,0.72617572353908,0.66110573132561,0.450560956218372,0.420412951530957,0.32026172801671,0.306285476056276,0.296522741047107,0.25919124116508,0.209449032755064,0.271449496523133,0.246250892747358,0.213118213405722,0.192402035003282,0.165337834129734,0.170026712696555,0.161214496627279,0.160416903523516,0.17104776137157,0.170064185959162,0.175484538555042,0.179531974107841,0.166794987361891,0.133332274800093,0.183376870635432,0.117876711927125,0.129257649557002
MEX,SL.FAM.WORK.FE.ZS,Mexico,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",17.6753417351346,17.0164092960203,16.1296201301959,18.0671331969601,15.0337931883795,14.4076241644036,12.6161661833044,12.0011029293521,11.9419102378556,11.7507959216233,11.2495518216274,10.8724285099258,10.4306362592193,10.3923842535746,10.0119916763224,9.51889764059974,9.38086010547701,9.24999046704146,8.8776786636281,8.16181923054122,8.02668634071835,7.66530224649166,7.22562782655549,6.94793844456087,6.71354353852788,6.69895527421662,5.70866928552275,6.10468351556137,6.12584209685884
USA,SL.FAM.WORK.FE.ZS,United States,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",0.213311348852638,0.187533412407505,0.199229069827639,0.190240724509941,0.149305540945604,0.147687225754802,0.141285774333137,0.141217479734096,0.124054279483154,0.136319542176246,0.118073037616635,0.117082468500314,0.108736017161691,0.135965322836188,0.114509135394285,0.0835097609778115,0.103350681330716,0.103445085249261,0.0901111855277021,0.0844975047430786,0.0775635092003661,0.0898334726865845,0.0760810403534264,0.068563180385814,0.0777319867727745,0.066981567725378,0.070501890010454,0.0856428435741833,0.0718715915021278
CAN,SL.FAM.WORK.MA.ZS,Canada,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",0.172946154335983,0.200281397230908,0.180496639962189,0.252798474178785,0.21946878494262,0.194895755515125,0.164202614527647,0.12940840750436,0.132543915391813,0.14764886070445,0.121740128316907,0.116996731441155,0.122209484437131,0.106578900259439,0.123213320657172,0.10707043216494,0.0793952878177283,0.101603751345815,0.079173051958382,0.115389556787381,0.105685030872407,0.091220517599497,0.106229321358578,0.103532970259081,0.111041952485702,0.104444085229919,0.0771323429260794,0.0679645042615594,0.0526083165817378
MEX,SL.FAM.WORK.MA.ZS,Mexico,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",10.694882435365,9.25090754899875,9.12778086541714,8.91851918516638,7.90817361466903,7.38559792443546,6.15634926366672,6.02816397085962,5.67951949868637,5.47152341524805,5.22487401640104,5.12862010522457,4.64620387598486,4.56943172810007,4.53987792787647,4.6748050035442,4.80448446049269,4.32155993947557,4.41957178856311,4.25161173955511,4.00346122225737,3.83536192913956,3.43593940396608,3.29497813381253,3.10637913065359,3.17029515540983,2.72169466245937,2.91817519301569,2.78310879783373
